,Date,User,Tweet,Likes,Retweets,Replies
34,2022-04-22 08:26:55+00:00,MujeresaSeguir,"Carmen Artigas, secretaria de Estado de Digitalización e Inteligencia Artificial de Asuntos Económicos y Transformación Digital: 'Es nuestro momento. El momento de las mujeres' #mujerytecnología @Globant @TheBridge_Tech https://t.co/gLjyCQPBRH",5,3,0
35,2022-04-22 08:22:02+00:00,MujeresaSeguir,"'Nunca se progresa desde el miedo. Hay que arriesgarse disfrutando', Irene Cano @Meta #mujerytecnología @TheBridge_Tech @Globant https://t.co/yaoUnWJIs6",4,1,0
36,2022-04-22 08:19:53+00:00,MujeresaSeguir,"'Hay que tener una apertura de mente en los modelos educativos' María Rotondo @Telefonica 
Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/dB8tF3prJv",2,0,0
37,2022-04-22 07:48:10+00:00,MujeresaSeguir,"A día de hoy, el 41 % de las  investigaciones públicas las hacen mujeres. Descubre más datos en numerosas jornada @TheBridge_Tech #mujerytecnología 
https://t.co/bNRyoB4h6y https://t.co/ZBQ4299zQW",0,0,0
38,2022-04-22 06:55:37+00:00,Capgemini_ES,@MujeresaSeguir @Globant @TheBridge_Tech Qué gran panel!,0,0,0
39,2022-04-21 14:26:16+00:00,TheBridge_Tech,"¿Unimos #psicología, diseño #uxui y #realidadvirtual? La respuesta: SÍ! Te invitamos a la mesa redonda del 28 de abril en @TheBridge_Tech donde trataremos el diseño ux desde el punto de vista del tratamiento de las fobias a través de la #vr. Entradas 👉https://t.co/JGOpD7p2rO",0,0,0
40,2022-04-21 12:42:41+00:00,GemmaRBar,@MujeresaSeguir @Globant @TheBridge_Tech Apuntado en la agenda 👌,0,0,0
41,2022-04-21 12:01:42+00:00,TheBridge_Tech,¡Gracias a vosotros! https://t.co/g7otWL5xbs,1,0,0
42,2022-04-21 11:30:01+00:00,itep_es,"📢Como ya sabéis, antes de #SemanaSanta, nuestro alumnado de la #FPinformática💻 visitaron @TheBridge_Tech. Gracias a su trato hacia #ITEP🔵 y su colaboración os ofrecemos nuevas imágenes de esa actividad‼️ En ellas queda patente el interés de la cita 👌🏻 https://t.co/nt0LFYitDB",4,1,0
43,2022-04-20 11:26:24+00:00,mrentem,@TheBridge_Tech Otro de los placeres de haber pasado unos meses en esas aulas!! 😉👩🏻‍💻,1,0,0
44,2022-04-20 07:56:32+00:00,TheBridge_Tech,"¡Qué bonito es nuestro palacio! 😍 Todo un privilegio para alumnos, profes y staff poder disfrutar de este espacio en pleno centro de Madrid. https://t.co/DCPt8lWJ6A",3,0,1
45,2022-04-20 04:57:14+00:00,alicesilverpol,"Actualmente acoge las oficinas de The Bridge, una aceleradora de talento digital
📷 @TheBridge_Tech https://t.co/xgWzxnqdOI",8,0,1
46,2022-04-19 19:55:08+00:00,jmnavarro,@bertinha84 @TheBridge_Tech 👏🏻👏🏻👏🏻  🙌🏻,1,0,0
47,2022-04-19 15:34:25+00:00,TheBridge_Tech,"▶Os presentamos a Jesús, alumni recién graduado del #bootcamp de #digitalmarketingops que tras acabar la carrera se lanzó en busca de una especialización en #MarketingDigital ¡Gracias Jesús por compartir tu experiencia y mucha suerte! 🚀 Más info 👉https://t.co/GtnhQmDsGP https://t.co/4VV7VDyjjP",1,0,0
48,2022-04-18 15:05:12+00:00,bertinha84,@AndreaMaganRey @TheBridge_Tech https://t.co/fpGUkYnGX4,1,0,0
49,2022-04-18 14:52:49+00:00,AndreaMaganRey,@bertinha84 @TheBridge_Tech A por ello @bertinha84 https://t.co/tz445Lv3mV,1,0,1
50,2022-04-18 13:37:44+00:00,bertinha84,@alinnfm @TheBridge_Tech https://t.co/0IWmJ42wab,0,0,0
